Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
B.FERNANDES,8,2015-2016,UDINESE,1,JUVENTUS,UDINESE,96',0,0,0,0,0,0,0,3,2,0,0,0,0,0
B.FERNANDES,8,2015-2016,UDINESE,2,UDINESE,PALERMO,96',0,0,1,2,0,1,2,3,2,2,3,1,0,0
B.FERNANDES,8,2015-2016,UDINESE,3,LAZIO,UDINESE,58',0,0,1,0,0,0,0,0,3,1,2,0,0,0
B.FERNANDES,8,2015-2016,UDINESE,4,UDINESE,EMPOLI,42',0,0,0,0,0,0,0,2,0,5,4,1,0,0
B.FERNANDES,8,2015-2016,UDINESE,5,UDINESE,MILAN,95',0,0,1,0,1,0,3,4,4,4,4,0,1,0
B.FERNANDES,8,2015-2016,UDINESE,8,HELLAS VERONA,UDINESE,95',0,0,1,4,4,0,0,0,1,1,4,0,0,0
B.FERNANDES,8,2015-2016,UDINESE,9,UDINESE,FROSINONE,69',0,0,1,1,0,0,0,1,1,0,3,0,0,0
B.FERNANDES,8,2015-2016,UDINESE,10,ROMA,UDINESE,36',0,0,1,0,0,0,0,0,0,0,2,0,0,0
B.FERNANDES,8,2015-2016,UDINESE,11,UDINESE,SASSUOLO,94',0,0,1,1,1,0,0,0,2,3,4,0,0,0
B.FERNANDES,8,2015-2016,UDINESE,12,NAPOLI,UDINESE,57',0,0,1,1,0,0,0,0,2,2,4,0,0,0
B.FERNANDES,8,2015-2016,UDINESE,14,CHIEVOVERONA,UDINESE,31',0,0,0,0,0,0,1,0,0,0,2,0,0,0
B.FERNANDES,8,2015-2016,UDINESE,15,FIORENTINA,UDINESE,35',0,0,0,1,0,0,0,0,0,0,0,0,0,0
B.FERNANDES,8,2015-2016,UDINESE,16,UDINESE,INTER,56',0,0,0,0,0,0,0,2,0,3,3,1,0,0
B.FERNANDES,8,2015-2016,UDINESE,17,TORINO,UDINESE,96',0,0,0,1,0,0,0,0,2,2,1,0,0,0
B.FERNANDES,8,2015-2016,UDINESE,18,UDINESE,ATALANTA,74',0,0,1,1,1,2,0,0,2,2,3,0,0,0
B.FERNANDES,8,2015-2016,UDINESE,19,CARPI,UDINESE,83',0,0,1,0,0,0,1,0,2,0,4,0,0,0
B.FERNANDES,8,2015-2016,UDINESE,20,UDINESE,JUVENTUS,20',0,0,0,0,0,0,0,0,1,1,0,0,0,0
B.FERNANDES,8,2015-2016,UDINESE,21,PALERMO,UDINESE,93',0,0,1,1,2,0,1,1,1,7,6,0,0,0
B.FERNANDES,8,2015-2016,UDINESE,22,UDINESE,LAZIO,25',0,0,0,0,0,0,0,0,1,2,2,0,0,0
B.FERNANDES,8,2015-2016,UDINESE,23,EMPOLI,UDINESE,58',0,0,1,0,1,0,1,1,1,5,2,1,0,0
B.FERNANDES,8,2015-2016,UDINESE,25,UDINESE,BOLOGNA,32',0,0,0,0,0,0,1,0,0,0,2,0,0,0
B.FERNANDES,8,2015-2016,UDINESE,27,UDINESE,HELLAS VERONA,81',0,0,2,0,3,0,4,0,1,2,7,0,0,0
B.FERNANDES,8,2015-2016,UDINESE,28,FROSINONE,UDINESE,95',0,0,0,2,0,0,2,0,1,0,6,0,0,0
B.FERNANDES,8,2015-2016,UDINESE,29,UDINESE,ROMA,93',1,0,1,2,2,0,0,0,2,3,8,0,0,0
B.FERNANDES,8,2015-2016,UDINESE,30,SASSUOLO,UDINESE,96',0,0,0,0,0,1,1,1,2,2,2,0,0,0
B.FERNANDES,8,2015-2016,UDINESE,31,UDINESE,NAPOLI,97',2,0,3,2,4,0,0,2,1,0,1,1,0,0
B.FERNANDES,8,2015-2016,UDINESE,33,UDINESE,CHIEVOVERONA,89',0,0,0,1,1,0,4,0,0,3,5,1,0,0
B.FERNANDES,8,2015-2016,UDINESE,34,UDINESE,FIORENTINA,79',0,0,1,0,1,0,0,1,3,3,5,1,0,0
B.FERNANDES,8,2015-2016,UDINESE,35,INTER,UDINESE,85',0,0,1,1,1,1,1,1,0,4,7,0,0,0
B.FERNANDES,8,2015-2016,UDINESE,36,UDINESE,TORINO,77',0,0,1,2,3,1,4,0,1,1,2,0,0,0
B.FERNANDES,8,2015-2016,UDINESE,38,UDINESE,CARPI,77',0,0,0,1,1,1,1,1,2,0,2,0,0,0
