Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
M.MACCARONE,7,2015-2016,EMPOLI,1,EMPOLI,CHIEVOVERONA,65',0,0,1,2,5,1,1,0,1,0,0,0,0,0
M.MACCARONE,7,2015-2016,EMPOLI,2,MILAN,EMPOLI,63',0,0,0,0,0,1,0,1,2,2,2,1,0,0
M.MACCARONE,7,2015-2016,EMPOLI,3,EMPOLI,NAPOLI,68',0,0,0,1,1,1,0,0,3,0,5,0,0,0
M.MACCARONE,7,2015-2016,EMPOLI,4,UDINESE,EMPOLI,97',1,0,1,0,1,0,0,2,1,0,1,1,0,0
M.MACCARONE,7,2015-2016,EMPOLI,5,EMPOLI,ATALANTA,79',0,0,0,0,0,0,0,0,2,1,3,0,0,0
M.MACCARONE,7,2015-2016,EMPOLI,6,FROSINONE,EMPOLI,94',0,0,0,0,0,0,0,3,0,0,1,0,0,0
M.MACCARONE,7,2015-2016,EMPOLI,7,EMPOLI,SASSUOLO,97',1,0,1,3,3,0,1,2,4,0,0,0,0,0
M.MACCARONE,7,2015-2016,EMPOLI,8,ROMA,EMPOLI,79',0,0,1,1,0,0,0,2,1,1,1,0,0,0
M.MACCARONE,7,2015-2016,EMPOLI,9,EMPOLI,GENOA,97',0,0,1,1,1,1,1,2,2,0,3,0,0,0
M.MACCARONE,7,2015-2016,EMPOLI,10,SAMPDORIA,EMPOLI,95',0,0,0,1,0,1,0,0,2,1,4,0,0,0
M.MACCARONE,7,2015-2016,EMPOLI,11,PALERMO,EMPOLI,6',0,0,0,0,0,0,0,0,0,0,2,0,0,0
M.MACCARONE,7,2015-2016,EMPOLI,12,EMPOLI,JUVENTUS,95',1,0,2,2,3,0,0,2,1,2,2,0,0,0
M.MACCARONE,7,2015-2016,EMPOLI,13,FIORENTINA,EMPOLI,66',0,0,1,0,1,0,0,0,1,0,0,0,0,0
M.MACCARONE,7,2015-2016,EMPOLI,14,EMPOLI,LAZIO,99',0,0,0,1,1,0,0,2,1,1,4,0,0,0
M.MACCARONE,7,2015-2016,EMPOLI,15,HELLAS VERONA,EMPOLI,95',0,0,3,2,3,0,0,1,2,0,5,0,0,0
M.MACCARONE,7,2015-2016,EMPOLI,16,EMPOLI,CARPI,63',2,0,2,0,2,1,0,1,0,1,9,0,0,0
M.MACCARONE,7,2015-2016,EMPOLI,17,BOLOGNA,EMPOLI,69',2,0,3,1,3,0,0,0,0,0,0,0,0,0
M.MACCARONE,7,2015-2016,EMPOLI,18,EMPOLI,INTER,66',0,0,2,0,2,0,0,1,1,0,4,0,0,0
M.MACCARONE,7,2015-2016,EMPOLI,19,TORINO,EMPOLI,88',1,0,1,1,1,1,0,1,2,0,6,1,0,0
M.MACCARONE,7,2015-2016,EMPOLI,20,CHIEVOVERONA,EMPOLI,95',0,0,2,0,3,1,0,2,1,0,3,0,0,0
M.MACCARONE,7,2015-2016,EMPOLI,21,EMPOLI,MILAN,70',1,0,3,0,2,0,0,1,2,0,6,0,0,0
M.MACCARONE,7,2015-2016,EMPOLI,22,NAPOLI,EMPOLI,69',0,0,0,0,0,0,0,2,3,2,3,0,0,0
M.MACCARONE,7,2015-2016,EMPOLI,23,EMPOLI,UDINESE,95',0,0,1,1,2,1,0,0,2,0,7,0,0,0
M.MACCARONE,7,2015-2016,EMPOLI,24,ATALANTA,EMPOLI,72',0,0,1,0,1,0,0,0,0,1,4,0,0,0
M.MACCARONE,7,2015-2016,EMPOLI,25,EMPOLI,FROSINONE,95',1,0,2,3,4,0,0,1,3,0,6,0,0,0
M.MACCARONE,7,2015-2016,EMPOLI,26,SASSUOLO,EMPOLI,95',1,0,2,0,2,1,0,1,2,3,7,0,0,0
M.MACCARONE,7,2015-2016,EMPOLI,27,EMPOLI,ROMA,75',0,0,1,1,2,0,0,2,0,0,8,0,0,0
M.MACCARONE,7,2015-2016,EMPOLI,28,GENOA,EMPOLI,53',0,0,0,0,0,0,0,0,0,0,4,0,0,0
M.MACCARONE,7,2015-2016,EMPOLI,29,EMPOLI,SAMPDORIA,56',0,0,2,1,3,1,0,1,0,2,0,0,0,0
M.MACCARONE,7,2015-2016,EMPOLI,30,EMPOLI,PALERMO,87',0,0,1,1,2,0,0,2,1,0,2,0,0,0
M.MACCARONE,7,2015-2016,EMPOLI,31,JUVENTUS,EMPOLI,76',0,0,1,1,0,0,0,2,0,2,3,0,0,0
M.MACCARONE,7,2015-2016,EMPOLI,32,EMPOLI,FIORENTINA,94',0,0,0,0,0,0,0,3,4,1,8,0,0,0
M.MACCARONE,7,2015-2016,EMPOLI,34,EMPOLI,HELLAS VERONA,83',1,0,3,0,3,1,0,0,1,0,2,0,0,0
M.MACCARONE,7,2015-2016,EMPOLI,35,CARPI,EMPOLI,9',0,0,0,0,0,0,0,3,0,1,1,1,0,0
M.MACCARONE,7,2015-2016,EMPOLI,36,EMPOLI,BOLOGNA,94',0,0,0,0,0,0,0,1,4,1,5,0,0,0
M.MACCARONE,7,2015-2016,EMPOLI,37,INTER,EMPOLI,95',0,0,1,0,1,1,0,1,4,0,9,0,0,0
M.MACCARONE,7,2015-2016,EMPOLI,38,EMPOLI,TORINO,78',1,0,1,1,2,0,0,1,2,1,6,0,0,0
