Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
M.PINILLA,51,2015-2016,ATALANTA,1,INTER,ATALANTA,73',0,0,0,1,2,0,0,1,3,0,1,1,0,0
M.PINILLA,51,2015-2016,ATALANTA,2,ATALANTA,FROSINONE,94',0,0,3,0,2,0,0,0,1,1,1,1,0,0
M.PINILLA,51,2015-2016,ATALANTA,3,SASSUOLO,ATALANTA,48',2,0,2,1,2,0,0,2,0,0,0,0,1,0
M.PINILLA,51,2015-2016,ATALANTA,5,EMPOLI,ATALANTA,96',0,0,1,3,1,0,0,1,0,2,3,1,0,0
M.PINILLA,51,2015-2016,ATALANTA,6,ATALANTA,SAMPDORIA,32',0,0,0,0,0,0,0,0,1,1,1,0,0,0
M.PINILLA,51,2015-2016,ATALANTA,8,ATALANTA,CARPI,93',1,0,1,1,1,0,0,4,2,2,4,0,0,0
M.PINILLA,51,2015-2016,ATALANTA,9,JUVENTUS,ATALANTA,95',0,0,0,3,0,0,0,2,2,3,3,0,0,0
M.PINILLA,51,2015-2016,ATALANTA,10,ATALANTA,LAZIO,94',0,0,0,2,2,0,2,2,3,0,2,0,0,0
M.PINILLA,51,2015-2016,ATALANTA,11,BOLOGNA,ATALANTA,36',0,0,1,0,0,0,0,0,1,1,1,1,0,0
M.PINILLA,51,2015-2016,ATALANTA,12,MILAN,ATALANTA,91',0,0,0,2,1,0,0,3,2,2,10,1,0,0
M.PINILLA,51,2015-2016,ATALANTA,23,HELLAS VERONA,ATALANTA,12',0,0,0,0,0,0,0,3,1,0,1,1,0,0
M.PINILLA,51,2015-2016,ATALANTA,24,ATALANTA,EMPOLI,60',0,0,1,0,2,1,0,1,3,1,5,0,0,0
M.PINILLA,51,2015-2016,ATALANTA,25,SAMPDORIA,ATALANTA,66',0,0,0,0,0,0,0,1,1,0,1,0,0,0
M.PINILLA,51,2015-2016,ATALANTA,26,ATALANTA,FIORENTINA,95',1,0,1,0,1,0,0,1,1,0,5,1,0,0
M.PINILLA,51,2015-2016,ATALANTA,27,CARPI,ATALANTA,68',0,0,0,1,0,0,0,3,3,0,4,0,0,0
M.PINILLA,51,2015-2016,ATALANTA,29,LAZIO,ATALANTA,61',0,0,0,1,1,1,2,3,2,0,3,0,0,0
M.PINILLA,51,2015-2016,ATALANTA,30,ATALANTA,BOLOGNA,95',0,0,2,1,2,1,0,2,1,2,3,1,0,0
M.PINILLA,51,2015-2016,ATALANTA,31,ATALANTA,MILAN,98',1,0,1,0,1,1,3,2,1,0,5,0,0,0
M.PINILLA,51,2015-2016,ATALANTA,32,TORINO,ATALANTA,94',0,0,0,3,3,0,0,3,0,1,1,0,0,0
M.PINILLA,51,2015-2016,ATALANTA,33,ATALANTA,ROMA,11',0,0,0,0,0,0,0,0,1,0,0,0,0,0
