Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
V.BIRSA,23,2015-2016,CHIEVOVERONA,1,EMPOLI,CHIEVOVERONA,89',1,0,1,0,1,0,1,5,0,2,1,0,0,0
V.BIRSA,23,2015-2016,CHIEVOVERONA,2,CHIEVOVERONA,LAZIO,83',1,0,1,0,1,2,0,1,2,3,0,0,0,0
V.BIRSA,23,2015-2016,CHIEVOVERONA,3,JUVENTUS,CHIEVOVERONA,73',0,0,0,0,0,0,0,2,0,1,1,1,0,0
V.BIRSA,23,2015-2016,CHIEVOVERONA,4,CHIEVOVERONA,INTER,76',0,0,1,1,2,0,2,0,2,4,2,0,0,0
V.BIRSA,23,2015-2016,CHIEVOVERONA,5,CHIEVOVERONA,TORINO,79',0,0,1,2,1,1,0,0,0,1,1,0,0,0
V.BIRSA,23,2015-2016,CHIEVOVERONA,6,SASSUOLO,CHIEVOVERONA,29',0,0,0,0,0,0,1,0,0,0,0,0,0,0
V.BIRSA,23,2015-2016,CHIEVOVERONA,7,CHIEVOVERONA,HELLAS VERONA,54',0,0,1,1,1,1,0,1,0,0,2,0,0,0
V.BIRSA,23,2015-2016,CHIEVOVERONA,8,GENOA,CHIEVOVERONA,96',0,0,0,0,0,0,1,2,2,3,5,0,0,0
V.BIRSA,23,2015-2016,CHIEVOVERONA,9,CHIEVOVERONA,NAPOLI,31',0,0,0,0,0,0,0,0,0,0,1,0,0,0
V.BIRSA,23,2015-2016,CHIEVOVERONA,10,MILAN,CHIEVOVERONA,67',0,0,0,0,0,0,0,2,0,0,4,0,0,0
V.BIRSA,23,2015-2016,CHIEVOVERONA,11,CHIEVOVERONA,SAMPDORIA,77',0,0,0,0,0,0,1,0,2,0,2,0,0,0
V.BIRSA,23,2015-2016,CHIEVOVERONA,12,PALERMO,CHIEVOVERONA,76',0,0,0,2,2,1,5,1,0,3,2,0,0,0
V.BIRSA,23,2015-2016,CHIEVOVERONA,13,CARPI,CHIEVOVERONA,76',0,0,0,3,1,0,0,1,0,3,3,1,0,0
V.BIRSA,23,2015-2016,CHIEVOVERONA,14,CHIEVOVERONA,UDINESE,73',0,0,3,0,2,0,4,1,1,1,9,0,0,0
V.BIRSA,23,2015-2016,CHIEVOVERONA,15,FROSINONE,CHIEVOVERONA,68',0,0,1,0,0,0,2,4,2,1,5,0,0,0
V.BIRSA,23,2015-2016,CHIEVOVERONA,16,CHIEVOVERONA,ATALANTA,87',1,0,1,1,1,0,3,0,0,0,2,0,0,0
V.BIRSA,23,2015-2016,CHIEVOVERONA,17,FIORENTINA,CHIEVOVERONA,74',0,0,0,0,0,0,0,2,0,2,5,0,0,0
V.BIRSA,23,2015-2016,CHIEVOVERONA,18,CHIEVOVERONA,ROMA,83',0,0,2,0,4,1,0,1,1,1,3,0,0,0
V.BIRSA,23,2015-2016,CHIEVOVERONA,19,BOLOGNA,CHIEVOVERONA,77',0,0,0,2,2,0,1,2,2,3,5,0,0,0
V.BIRSA,23,2015-2016,CHIEVOVERONA,20,CHIEVOVERONA,EMPOLI,42',0,0,1,1,2,0,0,2,1,4,3,1,0,0
V.BIRSA,23,2015-2016,CHIEVOVERONA,21,LAZIO,CHIEVOVERONA,67',0,0,0,1,0,1,0,1,2,0,5,0,0,0
V.BIRSA,23,2015-2016,CHIEVOVERONA,22,CHIEVOVERONA,JUVENTUS,68',0,0,0,0,0,0,2,0,0,1,1,0,0,0
V.BIRSA,23,2015-2016,CHIEVOVERONA,23,INTER,CHIEVOVERONA,72',0,0,0,0,0,0,1,1,2,1,4,0,0,0
V.BIRSA,23,2015-2016,CHIEVOVERONA,24,TORINO,CHIEVOVERONA,83',1,0,1,1,3,0,0,1,0,1,3,0,0,0
V.BIRSA,23,2015-2016,CHIEVOVERONA,25,CHIEVOVERONA,SASSUOLO,70',1,0,1,0,1,1,0,1,1,2,4,1,0,0
V.BIRSA,23,2015-2016,CHIEVOVERONA,26,HELLAS VERONA,CHIEVOVERONA,47',0,0,0,0,0,0,1,1,0,2,5,0,0,0
V.BIRSA,23,2015-2016,CHIEVOVERONA,27,CHIEVOVERONA,GENOA,73',0,0,2,1,0,0,0,1,0,3,3,0,0,0
V.BIRSA,23,2015-2016,CHIEVOVERONA,28,NAPOLI,CHIEVOVERONA,64',0,0,0,0,0,0,0,0,0,1,1,0,0,0
V.BIRSA,23,2015-2016,CHIEVOVERONA,29,CHIEVOVERONA,MILAN,76',0,0,1,0,1,1,0,2,1,1,5,0,0,0
V.BIRSA,23,2015-2016,CHIEVOVERONA,30,SAMPDORIA,CHIEVOVERONA,70',0,0,2,1,2,1,2,1,1,0,2,0,0,0
V.BIRSA,23,2015-2016,CHIEVOVERONA,31,CHIEVOVERONA,PALERMO,94',1,0,1,1,1,0,2,3,1,2,2,0,0,0
V.BIRSA,23,2015-2016,CHIEVOVERONA,32,CHIEVOVERONA,CARPI,80',0,0,0,0,0,1,3,0,2,1,4,0,0,0
V.BIRSA,23,2015-2016,CHIEVOVERONA,33,UDINESE,CHIEVOVERONA,69',0,0,0,0,0,0,2,0,0,1,5,0,0,0
V.BIRSA,23,2015-2016,CHIEVOVERONA,35,ATALANTA,CHIEVOVERONA,75',0,0,1,2,2,0,0,1,2,1,4,0,0,0
V.BIRSA,23,2015-2016,CHIEVOVERONA,36,CHIEVOVERONA,FIORENTINA,28',0,0,0,0,0,0,0,0,0,0,2,0,0,0
