Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
M.MANDZUKIC,17,2015-2016,JUVENTUS,1,JUVENTUS,UDINESE,96',0,0,2,3,4,0,0,2,0,0,0,0,0,0
M.MANDZUKIC,17,2015-2016,JUVENTUS,2,ROMA,JUVENTUS,63',0,0,0,0,1,0,0,1,2,0,1,0,0,0
M.MANDZUKIC,17,2015-2016,JUVENTUS,3,JUVENTUS,CHIEVOVERONA,21',0,0,0,0,0,0,0,1,0,0,0,0,0,0
M.MANDZUKIC,17,2015-2016,JUVENTUS,4,GENOA,JUVENTUS,85',0,0,1,0,1,1,0,0,2,2,1,0,0,0
M.MANDZUKIC,17,2015-2016,JUVENTUS,8,INTER,JUVENTUS,22',0,0,0,0,0,0,0,1,2,0,0,0,0,0
M.MANDZUKIC,17,2015-2016,JUVENTUS,9,JUVENTUS,ATALANTA,79',1,0,2,0,2,0,0,2,1,2,3,0,0,0
M.MANDZUKIC,17,2015-2016,JUVENTUS,10,SASSUOLO,JUVENTUS,62',0,0,0,0,0,0,0,4,0,0,3,0,0,0
M.MANDZUKIC,17,2015-2016,JUVENTUS,11,JUVENTUS,TORINO,17',0,0,0,0,0,0,1,0,0,0,2,0,0,0
M.MANDZUKIC,17,2015-2016,JUVENTUS,12,EMPOLI,JUVENTUS,95',1,0,2,2,2,0,1,3,1,2,1,0,0,0
M.MANDZUKIC,17,2015-2016,JUVENTUS,13,JUVENTUS,MILAN,94',0,0,0,1,1,0,0,2,1,1,0,0,0,0
M.MANDZUKIC,17,2015-2016,JUVENTUS,14,PALERMO,JUVENTUS,66',1,0,1,1,3,0,0,1,0,0,0,0,0,0
M.MANDZUKIC,17,2015-2016,JUVENTUS,15,LAZIO,JUVENTUS,86',0,0,0,0,0,1,0,5,2,1,2,1,0,0
M.MANDZUKIC,17,2015-2016,JUVENTUS,16,JUVENTUS,FIORENTINA,85',1,0,1,1,2,0,0,0,2,1,2,1,0,0
M.MANDZUKIC,17,2015-2016,JUVENTUS,17,CARPI,JUVENTUS,93',2,0,2,0,2,0,2,4,2,1,1,0,0,0
M.MANDZUKIC,17,2015-2016,JUVENTUS,20,UDINESE,JUVENTUS,92',0,0,1,0,1,0,2,0,1,1,2,0,0,0
M.MANDZUKIC,17,2015-2016,JUVENTUS,21,JUVENTUS,ROMA,94',0,0,0,0,0,1,0,2,1,2,1,1,0,0
M.MANDZUKIC,17,2015-2016,JUVENTUS,27,JUVENTUS,INTER,97',0,0,1,1,3,1,0,0,1,0,5,0,0,0
M.MANDZUKIC,17,2015-2016,JUVENTUS,28,ATALANTA,JUVENTUS,97',0,0,1,0,1,1,1,1,1,2,5,0,0,0
M.MANDZUKIC,17,2015-2016,JUVENTUS,29,JUVENTUS,SASSUOLO,90',0,0,0,1,1,1,1,1,1,2,3,0,0,0
M.MANDZUKIC,17,2015-2016,JUVENTUS,30,TORINO,JUVENTUS,87',0,0,0,0,0,0,0,2,0,0,3,0,0,0
M.MANDZUKIC,17,2015-2016,JUVENTUS,31,JUVENTUS,EMPOLI,67',1,0,2,0,2,0,0,1,0,1,1,0,0,0
M.MANDZUKIC,17,2015-2016,JUVENTUS,32,MILAN,JUVENTUS,97',1,0,1,0,2,0,0,5,1,0,2,1,0,0
M.MANDZUKIC,17,2015-2016,JUVENTUS,33,JUVENTUS,PALERMO,95',0,0,0,1,1,0,0,2,2,1,2,0,0,0
M.MANDZUKIC,17,2015-2016,JUVENTUS,34,JUVENTUS,LAZIO,90',1,0,1,0,1,0,0,1,3,3,5,0,0,0
M.MANDZUKIC,17,2015-2016,JUVENTUS,35,FIORENTINA,JUVENTUS,95',1,0,1,0,1,1,0,1,1,0,3,0,0,0
M.MANDZUKIC,17,2015-2016,JUVENTUS,36,JUVENTUS,CARPI,96',0,0,0,2,2,1,0,2,1,1,4,1,0,0
M.MANDZUKIC,17,2015-2016,JUVENTUS,38,JUVENTUS,SAMPDORIA,75',0,0,0,1,1,0,0,1,1,2,4,0,0,0
