Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
R.DE PAUL,10,2016-2017,UDINESE,1,ROMA,UDINESE,69',0,0,0,3,3,0,1,0,0,1,2,0,0,0
R.DE PAUL,10,2016-2017,UDINESE,2,UDINESE,EMPOLI,96',0,0,1,2,1,0,2,5,1,1,5,1,0,0
R.DE PAUL,10,2016-2017,UDINESE,3,MILAN,UDINESE,91',0,0,0,1,0,1,0,2,4,3,6,1,0,0
R.DE PAUL,10,2016-2017,UDINESE,4,UDINESE,CHIEVOVERONA,80',0,0,0,0,0,0,1,0,0,2,3,0,0,0
R.DE PAUL,10,2016-2017,UDINESE,5,UDINESE,FIORENTINA,94',0,0,0,2,1,2,1,3,0,2,2,0,0,0
R.DE PAUL,10,2016-2017,UDINESE,6,SASSUOLO,UDINESE,38',0,0,0,0,0,0,0,0,1,1,3,0,0,0
R.DE PAUL,10,2016-2017,UDINESE,7,UDINESE,LAZIO,64',0,0,0,2,1,0,1,1,0,1,4,0,0,0
R.DE PAUL,10,2016-2017,UDINESE,8,JUVENTUS,UDINESE,56',0,0,0,0,0,0,0,1,2,4,3,0,0,0
R.DE PAUL,10,2016-2017,UDINESE,9,UDINESE,PESCARA,59',0,0,1,0,0,0,1,0,2,1,4,0,0,0
R.DE PAUL,10,2016-2017,UDINESE,10,PALERMO,UDINESE,29',0,0,0,0,0,0,0,0,0,2,4,0,0,0
R.DE PAUL,10,2016-2017,UDINESE,11,UDINESE,TORINO,45',0,0,0,0,0,0,1,0,3,0,3,0,0,0
R.DE PAUL,10,2016-2017,UDINESE,12,GENOA,UDINESE,60',0,0,0,0,0,0,0,1,1,2,4,0,0,0
R.DE PAUL,10,2016-2017,UDINESE,13,UDINESE,NAPOLI,13',0,0,0,0,0,0,1,0,0,1,0,0,0,0
R.DE PAUL,10,2016-2017,UDINESE,15,UDINESE,BOLOGNA,68',0,0,0,0,1,0,0,0,2,0,6,0,0,0
R.DE PAUL,10,2016-2017,UDINESE,17,UDINESE,CROTONE,85',0,0,2,0,1,0,0,2,1,4,12,0,0,0
R.DE PAUL,10,2016-2017,UDINESE,18,SAMPDORIA,UDINESE,66',0,0,0,0,0,0,1,0,0,0,3,0,0,0
R.DE PAUL,10,2016-2017,UDINESE,19,UDINESE,INTER,75',0,0,2,0,2,0,0,1,3,4,2,0,0,0
R.DE PAUL,10,2016-2017,UDINESE,20,UDINESE,ROMA,93',0,0,2,1,2,1,1,2,0,4,7,0,0,0
R.DE PAUL,10,2016-2017,UDINESE,21,EMPOLI,UDINESE,95',0,0,0,0,0,1,0,0,3,5,11,0,0,0
R.DE PAUL,10,2016-2017,UDINESE,22,UDINESE,MILAN,95',1,0,1,0,1,0,0,2,1,1,6,1,0,0
R.DE PAUL,10,2016-2017,UDINESE,23,CHIEVOVERONA,UDINESE,78',0,0,0,1,0,0,1,1,2,5,0,1,0,0
R.DE PAUL,10,2016-2017,UDINESE,24,FIORENTINA,UDINESE,55',0,0,0,0,0,1,0,2,2,1,1,0,0,0
R.DE PAUL,10,2016-2017,UDINESE,25,UDINESE,SASSUOLO,97',0,0,1,0,1,2,2,3,1,4,1,1,0,0
R.DE PAUL,10,2016-2017,UDINESE,27,UDINESE,JUVENTUS,78',0,0,0,0,0,0,0,2,1,0,6,0,0,0
R.DE PAUL,10,2016-2017,UDINESE,28,PESCARA,UDINESE,97',0,0,0,1,0,0,0,2,1,6,4,1,0,0
R.DE PAUL,10,2016-2017,UDINESE,29,UDINESE,PALERMO,91',1,0,2,0,2,0,0,1,4,5,2,0,0,0
R.DE PAUL,10,2016-2017,UDINESE,30,TORINO,UDINESE,63',0,0,0,0,0,0,0,0,2,2,5,0,0,0
R.DE PAUL,10,2016-2017,UDINESE,31,UDINESE,GENOA,93',2,0,2,0,1,0,2,1,1,3,2,0,0,0
R.DE PAUL,10,2016-2017,UDINESE,32,NAPOLI,UDINESE,52',0,0,0,1,0,0,0,1,1,0,3,0,0,0
R.DE PAUL,10,2016-2017,UDINESE,33,UDINESE,CAGLIARI,94',0,0,1,1,2,1,2,1,3,4,8,0,0,0
R.DE PAUL,10,2016-2017,UDINESE,34,BOLOGNA,UDINESE,46',0,0,2,0,0,0,2,0,1,1,2,0,0,0
R.DE PAUL,10,2016-2017,UDINESE,35,UDINESE,ATALANTA,97',0,0,1,0,1,1,1,2,2,4,4,1,0,0
R.DE PAUL,10,2016-2017,UDINESE,36,CROTONE,UDINESE,81',0,0,2,0,1,0,3,0,0,0,4,0,0,0
R.DE PAUL,10,2016-2017,UDINESE,37,UDINESE,SAMPDORIA,47',0,0,0,1,0,0,0,1,3,3,4,0,0,1
