Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
R.SAPONARA,10,2016-2017,EMPOLI,1,EMPOLI,SAMPDORIA,94',0,0,0,1,1,1,0,4,4,0,5,1,0,0
R.SAPONARA,10,2016-2017,EMPOLI,2,UDINESE,EMPOLI,96',0,0,4,0,4,1,0,2,1,1,3,1,0,0
R.SAPONARA,10,2016-2017,EMPOLI,3,EMPOLI,CROTONE,87',0,0,0,2,0,0,1,0,3,0,8,0,0,0
R.SAPONARA,10,2016-2017,EMPOLI,4,TORINO,EMPOLI,79',0,0,1,0,1,1,0,0,0,2,6,0,0,0
R.SAPONARA,10,2016-2017,EMPOLI,5,EMPOLI,INTER,69',0,0,0,0,0,1,0,0,2,0,3,0,0,0
R.SAPONARA,10,2016-2017,EMPOLI,6,LAZIO,EMPOLI,96',0,0,1,1,2,0,0,0,1,0,10,0,0,0
R.SAPONARA,10,2016-2017,EMPOLI,8,GENOA,EMPOLI,96',0,0,0,0,0,1,1,1,3,0,10,1,0,0
R.SAPONARA,10,2016-2017,EMPOLI,9,EMPOLI,CHIEVOVERONA,94',0,0,1,1,1,0,1,0,4,0,10,0,0,0
R.SAPONARA,10,2016-2017,EMPOLI,10,NAPOLI,EMPOLI,94',0,0,0,0,0,1,0,1,0,0,6,0,0,0
R.SAPONARA,10,2016-2017,EMPOLI,11,EMPOLI,ROMA,95',0,0,1,0,0,1,0,1,1,1,9,0,0,0
R.SAPONARA,10,2016-2017,EMPOLI,12,PESCARA,EMPOLI,92',1,0,1,1,2,1,0,2,1,1,4,0,0,0
R.SAPONARA,10,2016-2017,EMPOLI,13,EMPOLI,FIORENTINA,69',0,0,1,2,0,0,0,0,0,0,6,0,0,0
R.SAPONARA,10,2016-2017,EMPOLI,14,EMPOLI,MILAN,93',1,0,2,2,4,0,0,0,3,5,3,0,0,0
R.SAPONARA,10,2016-2017,EMPOLI,15,SASSUOLO,EMPOLI,94',0,0,2,0,1,0,1,0,3,0,3,0,0,0
R.SAPONARA,10,2016-2017,EMPOLI,16,BOLOGNA,EMPOLI,96',0,0,0,0,0,1,0,0,3,0,4,0,0,0
R.SAPONARA,10,2016-2017,EMPOLI,17,EMPOLI,CAGLIARI,100',0,0,0,0,0,0,0,3,0,2,4,1,0,0
R.SAPONARA,10,2016-2017,EMPOLI,19,EMPOLI,PALERMO,66',0,0,0,0,0,1,1,0,0,0,6,0,0,0
R.SAPONARA,10,2016-2017,EMPOLI,20,SAMPDORIA,EMPOLI,96',0,0,0,0,0,0,0,1,0,0,3,0,0,0
R.SAPONARA,21,2016-2017,FIORENTINA,24,FIORENTINA,UDINESE,19',0,0,0,1,1,0,0,0,1,1,0,0,0,0
R.SAPONARA,21,2016-2017,FIORENTINA,25,MILAN,FIORENTINA,14',0,0,0,0,0,0,0,0,0,0,0,0,0,0
R.SAPONARA,21,2016-2017,FIORENTINA,26,FIORENTINA,TORINO,81',1,0,1,2,2,1,0,1,1,1,2,1,0,0
R.SAPONARA,21,2016-2017,FIORENTINA,28,FIORENTINA,CAGLIARI,68',0,0,1,0,1,0,0,1,0,1,5,0,0,0
R.SAPONARA,21,2016-2017,FIORENTINA,29,CROTONE,FIORENTINA,27',0,0,0,2,0,1,0,2,0,0,4,0,0,0
R.SAPONARA,21,2016-2017,FIORENTINA,30,FIORENTINA,BOLOGNA,24',0,0,1,0,1,0,0,0,2,0,2,0,0,0
R.SAPONARA,21,2016-2017,FIORENTINA,31,SAMPDORIA,FIORENTINA,13',0,0,0,1,0,0,0,0,0,1,0,0,0,0
R.SAPONARA,21,2016-2017,FIORENTINA,32,FIORENTINA,EMPOLI,62',0,0,0,0,0,0,1,0,1,0,5,0,0,0
R.SAPONARA,21,2016-2017,FIORENTINA,34,PALERMO,FIORENTINA,38',0,0,0,1,1,0,0,0,1,0,1,0,0,0
R.SAPONARA,21,2016-2017,FIORENTINA,37,NAPOLI,FIORENTINA,9',0,0,0,1,0,0,0,0,0,1,0,0,0,0
R.SAPONARA,21,2016-2017,FIORENTINA,38,FIORENTINA,PESCARA,93',1,0,4,1,4,0,0,2,0,1,5,0,0,0
