Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
G.DI LORENZO,22,2020-2021,NAPOLI,1,PARMA,NAPOLI,97',0,0,1,1,0,1,2,90,0,0,74,97,44,4,0,0,0
G.DI LORENZO,22,2020-2021,NAPOLI,2,NAPOLI,GENOA,93',0,0,1,0,0,1,0,93,1,0,76,94,40,5,0,0,0
G.DI LORENZO,22,2020-2021,NAPOLI,4,NAPOLI,ATALANTA,95',0,0,1,1,0,0,1,71,0,0,43,90,23,9,0,0,0
G.DI LORENZO,22,2020-2021,NAPOLI,5,BENEVENTO,NAPOLI,98',0,0,0,0,0,0,1,90,0,0,54,89,30,7,0,0,0
G.DI LORENZO,22,2020-2021,NAPOLI,6,NAPOLI,SASSUOLO,99',0,0,1,0,0,0,0,68,0,0,43,88,30,7,0,0,0
G.DI LORENZO,22,2020-2021,NAPOLI,7,BOLOGNA,NAPOLI,95',0,0,0,0,0,0,0,74,0,0,35,80,26,8,0,0,0
G.DI LORENZO,22,2020-2021,NAPOLI,8,NAPOLI,MILAN,100',0,0,3,2,0,1,1,81,0,0,39,75,23,7,0,0,0
G.DI LORENZO,22,2020-2021,NAPOLI,9,NAPOLI,ROMA,92',0,0,0,0,0,0,2,66,0,1,40,83,16,3,1,0,0
G.DI LORENZO,22,2020-2021,NAPOLI,10,CROTONE,NAPOLI,95',0,0,0,0,0,0,0,88,0,0,70,88,38,3,0,0,0
G.DI LORENZO,22,2020-2021,NAPOLI,11,NAPOLI,SAMPDORIA,96',0,0,0,0,0,0,2,96,0,0,59,89,33,6,1,0,0
G.DI LORENZO,22,2020-2021,NAPOLI,12,INTER,NAPOLI,97',0,0,2,1,0,1,2,117,0,1,89,93,34,5,0,0,0
