Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,LB,FYC,SYC,RC
F.CAPUTO,11,2018-2019,EMPOLI,1,EMPOLI,CAGLIARI,97',1,0,1,39,1,0,20,3,0,0,6,0,0,0
F.CAPUTO,11,2018-2019,EMPOLI,2,GENOA,EMPOLI,97',0,0,0,30,0,0,17,0,1,0,2,0,0,0
F.CAPUTO,11,2018-2019,EMPOLI,3,CHIEVOVERONA,EMPOLI,97',0,0,0,30,1,0,17,1,0,0,4,0,0,0
F.CAPUTO,11,2018-2019,EMPOLI,4,EMPOLI,LAZIO,95',0,0,1,30,2,0,17,1,1,1,4,0,0,0
F.CAPUTO,11,2018-2019,EMPOLI,5,SASSUOLO,EMPOLI,95',1,0,2,42,2,0,25,0,1,2,5,0,0,0
F.CAPUTO,11,2018-2019,EMPOLI,6,EMPOLI,MILAN,96',1,0,2,27,2,0,19,1,2,0,3,0,0,0
F.CAPUTO,11,2018-2019,EMPOLI,7,PARMA,EMPOLI,93',0,0,1,40,1,0,25,1,0,0,4,0,0,0
F.CAPUTO,11,2018-2019,EMPOLI,8,EMPOLI,ROMA,93',0,0,2,23,3,0,9,0,0,0,6,0,0,0
F.CAPUTO,11,2018-2019,EMPOLI,9,FROSINONE,EMPOLI,95',0,0,1,27,2,0,15,0,0,0,2,0,0,0
F.CAPUTO,11,2018-2019,EMPOLI,10,EMPOLI,JUVENTUS,98',1,0,1,26,1,0,15,0,2,1,3,0,0,0
F.CAPUTO,11,2018-2019,EMPOLI,11,NAPOLI,EMPOLI,95',1,0,1,31,1,0,16,1,0,1,3,0,0,0
F.CAPUTO,11,2018-2019,EMPOLI,12,EMPOLI,UDINESE,97',1,0,1,31,1,1,15,0,0,2,7,0,0,0
F.CAPUTO,11,2018-2019,EMPOLI,13,EMPOLI,ATALANTA,94',0,0,2,40,2,0,22,2,1,1,2,0,0,0
F.CAPUTO,11,2018-2019,EMPOLI,14,SPAL,EMPOLI,95',1,0,3,40,6,0,20,0,1,1,2,0,0,0
F.CAPUTO,11,2018-2019,EMPOLI,15,EMPOLI,BOLOGNA,99',1,0,4,28,4,0,11,0,1,0,2,0,0,0
F.CAPUTO,11,2018-2019,EMPOLI,16,FIORENTINA,EMPOLI,97',0,0,2,34,3,1,17,1,0,0,1,0,0,0
F.CAPUTO,11,2018-2019,EMPOLI,17,EMPOLI,SAMPDORIA,97',1,0,1,19,1,0,7,0,2,1,5,1,0,0
F.CAPUTO,11,2018-2019,EMPOLI,18,TORINO,EMPOLI,96',0,0,0,19,0,0,8,1,0,2,2,0,0,0
F.CAPUTO,11,2018-2019,EMPOLI,19,EMPOLI,INTER,96',0,0,1,25,0,0,12,1,0,1,5,0,0,0
F.CAPUTO,11,2018-2019,EMPOLI,20,CAGLIARI,EMPOLI,93',0,0,1,39,0,1,25,1,2,1,1,0,0,0
F.CAPUTO,11,2018-2019,EMPOLI,21,EMPOLI,GENOA,94',0,0,1,38,4,0,19,0,0,1,2,0,0,0
F.CAPUTO,11,2018-2019,EMPOLI,22,EMPOLI,CHIEVOVERONA,95',2,0,2,29,2,0,14,0,0,0,6,0,0,0
F.CAPUTO,11,2018-2019,EMPOLI,23,LAZIO,EMPOLI,94',0,0,1,40,1,0,20,0,2,3,7,0,0,0
F.CAPUTO,11,2018-2019,EMPOLI,24,EMPOLI,SASSUOLO,92',0,0,1,20,1,0,12,0,1,0,2,0,0,0
F.CAPUTO,11,2018-2019,EMPOLI,25,MILAN,EMPOLI,96',0,0,0,38,0,0,21,1,1,1,3,0,0,0
F.CAPUTO,11,2018-2019,EMPOLI,26,EMPOLI,PARMA,99',1,0,1,30,1,0,16,1,2,0,2,0,0,0
F.CAPUTO,11,2018-2019,EMPOLI,27,ROMA,EMPOLI,97',0,0,0,25,0,0,14,0,1,1,1,0,0,0
F.CAPUTO,11,2018-2019,EMPOLI,28,EMPOLI,FROSINONE,100',1,0,2,29,3,0,16,0,1,0,4,0,0,0
F.CAPUTO,11,2018-2019,EMPOLI,29,JUVENTUS,EMPOLI,94',0,0,0,33,0,0,26,1,2,1,1,0,0,0
F.CAPUTO,11,2018-2019,EMPOLI,30,EMPOLI,NAPOLI,98',0,0,2,39,3,0,26,3,0,1,3,0,0,0
F.CAPUTO,11,2018-2019,EMPOLI,31,UDINESE,EMPOLI,99',1,0,1,34,1,0,22,1,0,0,2,1,0,0
F.CAPUTO,11,2018-2019,EMPOLI,32,ATALANTA,EMPOLI,97',0,0,0,34,0,0,21,0,1,1,5,0,0,0
F.CAPUTO,11,2018-2019,EMPOLI,33,EMPOLI,SPAL,98',1,0,1,24,2,0,18,0,0,0,1,0,0,0
F.CAPUTO,11,2018-2019,EMPOLI,34,BOLOGNA,EMPOLI,99',0,0,1,30,1,0,11,4,2,0,7,0,0,0
F.CAPUTO,11,2018-2019,EMPOLI,35,EMPOLI,FIORENTINA,96',0,0,1,33,1,0,15,2,3,0,6,0,0,0
F.CAPUTO,11,2018-2019,EMPOLI,36,SAMPDORIA,EMPOLI,98',0,0,2,27,2,0,14,2,0,0,3,0,0,0
F.CAPUTO,11,2018-2019,EMPOLI,37,EMPOLI,TORINO,95',1,0,1,33,3,0,16,0,2,0,7,0,0,0
F.CAPUTO,11,2018-2019,EMPOLI,38,INTER,EMPOLI,98',0,0,2,39,1,0,24,0,0,0,4,1,0,0
