Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,LB,FYC,SYC,RC
P.FARAGO',24,2018-2019,CAGLIARI,1,EMPOLI,CAGLIARI,97',0,0,0,87,0,0,57,0,4,8,4,0,0,0
P.FARAGO',24,2018-2019,CAGLIARI,2,CAGLIARI,SASSUOLO,16',0,0,0,13,0,0,7,0,0,0,0,0,0,0
P.FARAGO',24,2018-2019,CAGLIARI,3,ATALANTA,CAGLIARI,21',0,0,0,12,0,0,7,1,0,0,0,0,0,0
P.FARAGO',24,2018-2019,CAGLIARI,7,INTER,CAGLIARI,95',0,0,0,60,0,0,42,1,0,3,3,0,0,0
P.FARAGO',24,2018-2019,CAGLIARI,8,CAGLIARI,BOLOGNA,70',0,0,0,60,0,0,38,0,3,3,1,0,0,0
P.FARAGO',24,2018-2019,CAGLIARI,9,FIORENTINA,CAGLIARI,101',0,0,0,58,0,1,34,2,0,6,2,0,0,0
P.FARAGO',24,2018-2019,CAGLIARI,11,JUVENTUS,CAGLIARI,26',0,0,0,8,0,0,6,0,0,0,0,0,0,0
P.FARAGO',24,2018-2019,CAGLIARI,12,SPAL,CAGLIARI,7',0,0,0,3,0,0,0,0,0,0,0,0,0,0
P.FARAGO',24,2018-2019,CAGLIARI,14,FROSINONE,CAGLIARI,34',0,0,0,15,0,0,10,0,0,0,0,0,0,0
P.FARAGO',24,2018-2019,CAGLIARI,15,CAGLIARI,ROMA,96',0,0,0,43,1,0,27,4,2,4,0,1,0,0
P.FARAGO',24,2018-2019,CAGLIARI,16,CAGLIARI,NAPOLI,99',0,0,1,50,1,0,24,3,0,3,2,0,0,0
P.FARAGO',24,2018-2019,CAGLIARI,17,LAZIO,CAGLIARI,96',0,0,2,59,1,0,31,3,4,4,11,1,0,0
P.FARAGO',24,2018-2019,CAGLIARI,18,CAGLIARI,GENOA,97',0,0,0,49,0,0,22,2,2,1,2,1,0,0
P.FARAGO',24,2018-2019,CAGLIARI,19,UDINESE,CAGLIARI,21',0,0,0,9,0,0,6,1,0,0,0,0,0,0
P.FARAGO',24,2018-2019,CAGLIARI,20,CAGLIARI,EMPOLI,25',0,0,0,13,0,0,5,0,0,1,2,0,0,0
P.FARAGO',24,2018-2019,CAGLIARI,21,SASSUOLO,CAGLIARI,100',0,0,2,56,0,0,36,1,1,1,4,0,0,0
P.FARAGO',24,2018-2019,CAGLIARI,22,CAGLIARI,ATALANTA,96',0,0,1,52,1,0,34,0,1,4,3,0,0,0
P.FARAGO',24,2018-2019,CAGLIARI,23,MILAN,CAGLIARI,90',0,0,0,45,0,0,34,4,0,2,3,1,0,0
P.FARAGO',24,2018-2019,CAGLIARI,25,SAMPDORIA,CAGLIARI,22',0,0,0,13,0,0,9,0,0,0,0,0,0,0
P.FARAGO',24,2018-2019,CAGLIARI,26,CAGLIARI,INTER,99',0,0,1,48,3,0,26,2,0,2,0,1,0,0
P.FARAGO',24,2018-2019,CAGLIARI,28,CAGLIARI,FIORENTINA,96',0,0,0,47,0,0,30,5,1,2,6,0,0,0
P.FARAGO',24,2018-2019,CAGLIARI,29,CHIEVOVERONA,CAGLIARI,94',0,0,0,52,0,0,35,2,0,1,2,1,0,0
P.FARAGO',24,2018-2019,CAGLIARI,30,CAGLIARI,JUVENTUS,76',0,0,0,31,0,0,21,2,1,3,4,0,0,0
P.FARAGO',24,2018-2019,CAGLIARI,31,CAGLIARI,SPAL,99',1,0,4,46,3,0,29,2,0,3,6,0,0,0
P.FARAGO',24,2018-2019,CAGLIARI,32,TORINO,CAGLIARI,100',0,0,0,42,0,0,22,2,2,4,4,1,0,0
P.FARAGO',24,2018-2019,CAGLIARI,33,CAGLIARI,FROSINONE,79',0,0,0,48,1,0,37,3,0,1,2,0,1,0
