Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,LB,FYC,SYC,RC
S.DE MAIO,4,2018-2019,BOLOGNA,3,BOLOGNA,INTER,73',0,0,0,30,0,0,15,0,0,5,4,0,0,0
S.DE MAIO,4,2018-2019,BOLOGNA,4,GENOA,BOLOGNA,99',0,0,0,66,1,0,48,2,0,4,1,0,0,0
S.DE MAIO,4,2018-2019,BOLOGNA,5,BOLOGNA,ROMA,98',0,0,0,36,0,0,21,2,0,0,3,1,0,0
S.DE MAIO,4,2018-2019,BOLOGNA,7,BOLOGNA,UDINESE,95',0,0,0,75,0,0,61,1,0,3,2,0,0,0
S.DE MAIO,4,2018-2019,BOLOGNA,8,CAGLIARI,BOLOGNA,65',0,0,0,36,0,0,23,1,0,2,1,1,0,0
S.DE MAIO,4,2018-2019,BOLOGNA,19,NAPOLI,BOLOGNA,98',0,0,0,41,0,0,33,1,0,1,0,1,0,0
S.DE MAIO,87,2018-2019,UDINESE,22,UDINESE,FIORENTINA,94',0,0,0,35,0,0,17,0,0,2,3,0,0,0
S.DE MAIO,87,2018-2019,UDINESE,23,TORINO,UDINESE,100',0,0,0,35,0,0,18,4,0,2,0,0,1,0
S.DE MAIO,87,2018-2019,UDINESE,25,LAZIO,UDINESE,19',0,0,0,15,0,0,11,0,0,0,1,0,0,0
S.DE MAIO,87,2018-2019,UDINESE,26,UDINESE,BOLOGNA,96',0,0,0,30,0,0,17,1,1,1,2,0,0,0
S.DE MAIO,87,2018-2019,UDINESE,27,JUVENTUS,UDINESE,95',0,0,0,53,0,0,38,0,0,0,0,0,0,0
S.DE MAIO,87,2018-2019,UDINESE,28,NAPOLI,UDINESE,27',0,0,0,22,1,0,16,0,0,1,0,0,0,0
S.DE MAIO,87,2018-2019,UDINESE,29,UDINESE,GENOA,93',0,0,0,37,0,0,21,0,0,0,1,0,0,0
S.DE MAIO,87,2018-2019,UDINESE,30,MILAN,UDINESE,99',0,0,0,45,1,0,30,0,0,0,0,0,0,0
S.DE MAIO,87,2018-2019,UDINESE,31,UDINESE,EMPOLI,31',0,0,0,7,0,0,2,0,0,1,0,0,0,0
S.DE MAIO,87,2018-2019,UDINESE,32,ROMA,UDINESE,85',0,0,1,48,1,0,30,0,0,1,2,0,0,0
S.DE MAIO,87,2018-2019,UDINESE,33,UDINESE,SASSUOLO,60',0,0,0,32,0,0,23,2,0,0,1,0,0,0
S.DE MAIO,87,2018-2019,UDINESE,34,ATALANTA,UDINESE,72',0,0,0,18,0,0,10,0,0,1,2,0,0,0
S.DE MAIO,87,2018-2019,UDINESE,35,UDINESE,INTER,94',0,0,1,31,0,0,17,1,0,1,1,0,0,0
S.DE MAIO,87,2018-2019,UDINESE,36,FROSINONE,UDINESE,95',0,0,0,48,0,0,31,0,1,1,0,0,0,0
S.DE MAIO,87,2018-2019,UDINESE,37,UDINESE,SPAL,98',0,0,0,32,0,0,19,0,0,1,1,0,0,0
S.DE MAIO,87,2018-2019,UDINESE,38,CAGLIARI,UDINESE,96',1,0,1,42,1,0,30,2,2,1,0,0,0,0
