Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
R.MORO,27,2021-2022,LAZIO,1,EMPOLI,LAZIO,34',0,0,0,0,0,0,0,22,0,0,16,94,8,1,0,0,0
R.MORO,27,2021-2022,LAZIO,2,LAZIO,SPEZIA,19',0,0,1,0,0,0,0,20,1,0,15,94,14,0,0,0,0
R.MORO,27,2021-2022,LAZIO,3,MILAN,LAZIO,10',0,0,0,0,0,0,0,8,0,0,4,100,4,1,0,0,0
R.MORO,27,2021-2022,LAZIO,4,LAZIO,CAGLIARI,7',0,0,0,0,0,0,0,6,0,0,3,75,3,0,0,0,0
R.MORO,27,2021-2022,LAZIO,5,TORINO,LAZIO,47',0,0,0,0,0,0,0,16,0,0,10,91,3,0,0,0,0
R.MORO,27,2021-2022,LAZIO,9,HELLAS VERONA,LAZIO,32',0,0,0,0,0,0,0,11,0,1,5,100,3,0,0,0,0
R.MORO,27,2021-2022,LAZIO,10,LAZIO,FIORENTINA,10',0,0,0,0,0,0,0,5,0,0,3,75,1,1,0,0,0
R.MORO,27,2021-2022,LAZIO,11,ATALANTA,LAZIO,18',0,0,1,1,0,0,0,5,0,1,3,75,2,0,0,0,0
R.MORO,27,2021-2022,LAZIO,13,LAZIO,JUVENTUS,21',0,0,0,0,0,0,0,8,0,0,5,100,5,0,0,0,0
R.MORO,27,2021-2022,LAZIO,14,NAPOLI,LAZIO,15',0,0,0,0,0,0,1,3,0,0,3,100,2,0,0,0,0
R.MORO,27,2021-2022,LAZIO,25,LAZIO,BOLOGNA,17',0,0,0,0,0,1,0,9,0,1,4,57,4,1,0,0,0
