Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
G.CHIELLINI,3,2017-2018,JUVENTUS,1,JUVENTUS,CAGLIARI,95',0,0,0,0,0,0,0,4,1,3,2,0,0,0
G.CHIELLINI,3,2017-2018,JUVENTUS,2,GENOA,JUVENTUS,99',0,0,1,0,0,0,0,1,0,0,2,0,0,0
G.CHIELLINI,3,2017-2018,JUVENTUS,4,SASSUOLO,JUVENTUS,93',0,0,0,0,0,0,0,3,0,2,1,0,0,0
G.CHIELLINI,3,2017-2018,JUVENTUS,6,JUVENTUS,TORINO,95',0,0,0,0,0,0,0,1,0,3,4,0,0,0
G.CHIELLINI,3,2017-2018,JUVENTUS,7,ATALANTA,JUVENTUS,97',0,0,0,0,0,0,0,1,3,3,6,0,0,0
G.CHIELLINI,3,2017-2018,JUVENTUS,8,JUVENTUS,LAZIO,97',0,0,0,0,0,0,0,1,0,9,6,0,0,0
G.CHIELLINI,3,2017-2018,JUVENTUS,9,UDINESE,JUVENTUS,93',0,0,0,1,1,0,0,0,1,4,2,0,0,0
G.CHIELLINI,3,2017-2018,JUVENTUS,11,MILAN,JUVENTUS,95',0,0,0,1,0,0,0,2,0,4,1,0,0,0
G.CHIELLINI,3,2017-2018,JUVENTUS,12,JUVENTUS,BENEVENTO,96',0,0,0,0,0,0,0,2,1,2,2,0,0,0
G.CHIELLINI,3,2017-2018,JUVENTUS,13,SAMPDORIA,JUVENTUS,98',0,0,0,0,0,0,0,2,1,4,2,0,0,0
G.CHIELLINI,3,2017-2018,JUVENTUS,15,NAPOLI,JUVENTUS,96',0,0,0,0,0,0,0,0,1,1,4,1,0,0
G.CHIELLINI,3,2017-2018,JUVENTUS,16,JUVENTUS,INTER,94',0,0,0,0,0,0,0,1,1,5,2,0,0,0
G.CHIELLINI,3,2017-2018,JUVENTUS,18,JUVENTUS,ROMA,95',0,0,1,0,1,0,0,1,1,3,1,0,0,0
G.CHIELLINI,3,2017-2018,JUVENTUS,19,HELLAS VERONA,JUVENTUS,94',0,0,0,1,1,0,0,1,1,1,2,0,0,0
G.CHIELLINI,3,2017-2018,JUVENTUS,20,CAGLIARI,JUVENTUS,100',0,0,0,1,1,0,0,1,1,2,4,0,0,0
G.CHIELLINI,3,2017-2018,JUVENTUS,21,JUVENTUS,GENOA,94',0,0,0,0,0,0,0,2,2,2,5,0,0,0
G.CHIELLINI,3,2017-2018,JUVENTUS,23,JUVENTUS,SASSUOLO,91',0,0,0,0,0,0,0,0,1,5,3,0,0,0
G.CHIELLINI,3,2017-2018,JUVENTUS,24,FIORENTINA,JUVENTUS,99',0,0,0,0,0,1,0,2,0,4,2,0,0,0
G.CHIELLINI,3,2017-2018,JUVENTUS,25,TORINO,JUVENTUS,96',0,0,0,0,0,0,0,0,3,4,0,0,0,0
G.CHIELLINI,3,2017-2018,JUVENTUS,26,JUVENTUS,ATALANTA,93',0,0,0,2,0,0,0,0,3,3,3,0,0,0
G.CHIELLINI,3,2017-2018,JUVENTUS,27,LAZIO,JUVENTUS,1',0,0,0,0,0,0,0,0,0,0,0,0,0,0
G.CHIELLINI,3,2017-2018,JUVENTUS,28,JUVENTUS,UDINESE,94',0,0,0,1,1,0,1,2,1,1,1,1,0,0
G.CHIELLINI,3,2017-2018,JUVENTUS,29,SPAL,JUVENTUS,81',0,0,0,0,0,1,1,1,1,1,1,0,0,0
G.CHIELLINI,3,2017-2018,JUVENTUS,30,JUVENTUS,MILAN,94',0,0,0,0,0,0,0,4,2,2,6,0,0,0
G.CHIELLINI,3,2017-2018,JUVENTUS,32,JUVENTUS,SAMPDORIA,95',0,0,0,0,0,0,0,0,1,3,2,0,0,0
G.CHIELLINI,3,2017-2018,JUVENTUS,34,JUVENTUS,NAPOLI,11',0,0,0,0,0,0,0,0,0,0,1,0,0,0
