Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
A.RAGUSA,90,2017-2018,SASSUOLO,1,SASSUOLO,GENOA,28',0,0,0,0,0,0,0,0,2,0,1,0,0,0
A.RAGUSA,90,2017-2018,SASSUOLO,2,TORINO,SASSUOLO,33',0,0,0,0,0,0,1,1,0,3,0,1,0,0
A.RAGUSA,90,2017-2018,SASSUOLO,3,ATALANTA,SASSUOLO,20',0,0,1,0,1,0,0,0,0,0,0,0,0,0
A.RAGUSA,90,2017-2018,SASSUOLO,4,SASSUOLO,JUVENTUS,29',0,0,0,0,1,0,0,0,0,1,2,0,0,0
A.RAGUSA,90,2017-2018,SASSUOLO,5,CAGLIARI,SASSUOLO,21',0,0,0,0,1,0,0,2,0,0,1,0,0,0
A.RAGUSA,90,2017-2018,SASSUOLO,9,SPAL,SASSUOLO,16',0,0,0,0,0,0,0,1,1,0,1,0,0,0
A.RAGUSA,90,2017-2018,SASSUOLO,10,SASSUOLO,UDINESE,19',0,0,0,0,0,0,0,0,0,0,1,0,0,0
A.RAGUSA,90,2017-2018,SASSUOLO,11,NAPOLI,SASSUOLO,56',0,0,0,0,0,0,0,2,2,2,3,1,0,0
A.RAGUSA,90,2017-2018,SASSUOLO,12,SASSUOLO,MILAN,73',0,0,2,1,3,0,0,1,1,0,3,0,0,0
A.RAGUSA,90,2017-2018,SASSUOLO,13,BENEVENTO,SASSUOLO,73',0,0,0,2,2,0,0,0,3,0,3,0,0,0
A.RAGUSA,90,2017-2018,SASSUOLO,15,FIORENTINA,SASSUOLO,15',0,0,0,0,0,0,0,1,0,0,0,0,0,0
A.RAGUSA,90,2017-2018,SASSUOLO,17,SAMPDORIA,SASSUOLO,9',0,0,0,0,0,1,1,2,0,0,0,1,0,0
A.RAGUSA,90,2017-2018,SASSUOLO,18,SASSUOLO,INTER,33',0,0,0,0,0,1,0,2,2,0,1,0,0,0
A.RAGUSA,90,2017-2018,SASSUOLO,19,ROMA,SASSUOLO,59',0,0,1,1,2,1,1,1,3,1,7,0,0,0
A.RAGUSA,90,2017-2018,SASSUOLO,20,GENOA,SASSUOLO,12',0,0,0,1,1,0,1,1,0,0,1,0,0,0
A.RAGUSA,90,2017-2018,SASSUOLO,21,SASSUOLO,TORINO,55',0,0,1,2,1,0,0,0,2,1,4,0,0,0
A.RAGUSA,90,2017-2018,SASSUOLO,22,SASSUOLO,ATALANTA,21',0,0,0,0,0,0,0,0,0,0,2,0,0,0
A.RAGUSA,90,2017-2018,SASSUOLO,23,JUVENTUS,SASSUOLO,9',0,0,0,0,0,0,1,1,0,0,0,0,0,0
A.RAGUSA,90,2017-2018,SASSUOLO,24,SASSUOLO,CAGLIARI,5',0,0,0,0,0,0,0,0,1,0,1,0,0,0
A.RAGUSA,90,2017-2018,SASSUOLO,25,BOLOGNA,SASSUOLO,9',0,0,1,1,1,0,0,1,0,0,0,1,0,0
A.RAGUSA,90,2017-2018,SASSUOLO,26,SASSUOLO,LAZIO,24',0,0,0,0,0,0,0,0,0,0,2,0,0,0
A.RAGUSA,90,2017-2018,SASSUOLO,27,CHIEVOVERONA,SASSUOLO,30',0,0,0,1,1,0,0,1,1,0,2,0,0,0
A.RAGUSA,90,2017-2018,SASSUOLO,28,SASSUOLO,SPAL,86',0,0,1,0,1,0,1,1,3,3,3,1,0,0
A.RAGUSA,90,2017-2018,SASSUOLO,30,SASSUOLO,NAPOLI,22',0,0,0,0,0,0,0,0,0,0,0,1,0,0
A.RAGUSA,90,2017-2018,SASSUOLO,31,MILAN,SASSUOLO,42',0,0,1,0,1,0,0,1,1,1,4,0,0,0
A.RAGUSA,90,2017-2018,SASSUOLO,33,HELLAS VERONA,SASSUOLO,23',0,0,0,0,0,0,0,0,1,1,5,0,0,0
A.RAGUSA,90,2017-2018,SASSUOLO,34,SASSUOLO,FIORENTINA,31',0,0,1,0,1,1,0,1,2,1,0,0,0,0
A.RAGUSA,90,2017-2018,SASSUOLO,35,CROTONE,SASSUOLO,56',0,0,0,0,0,0,2,0,3,1,6,0,0,0
A.RAGUSA,90,2017-2018,SASSUOLO,36,SASSUOLO,SAMPDORIA,5',0,0,0,0,0,0,0,0,1,1,0,0,0,0
A.RAGUSA,90,2017-2018,SASSUOLO,37,INTER,SASSUOLO,17',0,0,0,0,0,0,0,1,0,0,3,0,0,0
