Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
A.CERCI,10,2017-2018,HELLAS VERONA,1,HELLAS VERONA,NAPOLI,73',0,0,1,1,2,0,0,0,0,0,4,0,0,0
A.CERCI,10,2017-2018,HELLAS VERONA,2,CROTONE,HELLAS VERONA,63',0,0,0,1,1,1,0,0,1,0,2,0,0,0
A.CERCI,10,2017-2018,HELLAS VERONA,6,HELLAS VERONA,LAZIO,47',0,0,0,0,0,0,0,0,0,0,2,0,0,0
A.CERCI,10,2017-2018,HELLAS VERONA,7,TORINO,HELLAS VERONA,102',0,0,1,0,1,1,3,1,1,3,8,0,0,0
A.CERCI,10,2017-2018,HELLAS VERONA,8,HELLAS VERONA,BENEVENTO,71',0,0,0,1,1,0,3,1,2,0,6,0,0,0
A.CERCI,10,2017-2018,HELLAS VERONA,9,CHIEVOVERONA,HELLAS VERONA,47',0,0,0,1,1,0,1,1,0,0,1,0,0,0
A.CERCI,10,2017-2018,HELLAS VERONA,10,ATALANTA,HELLAS VERONA,66',0,0,1,1,1,2,0,2,0,2,3,0,0,0
A.CERCI,10,2017-2018,HELLAS VERONA,11,HELLAS VERONA,INTER,80',0,0,1,1,2,0,0,3,3,1,5,0,0,0
A.CERCI,10,2017-2018,HELLAS VERONA,12,CAGLIARI,HELLAS VERONA,70',0,0,0,0,0,2,0,0,1,1,1,0,0,0
A.CERCI,10,2017-2018,HELLAS VERONA,13,HELLAS VERONA,BOLOGNA,81',1,0,3,0,4,0,0,0,3,1,3,0,0,0
A.CERCI,10,2017-2018,HELLAS VERONA,14,SASSUOLO,HELLAS VERONA,60',0,0,0,1,0,2,2,1,2,3,2,0,0,0
A.CERCI,10,2017-2018,HELLAS VERONA,15,HELLAS VERONA,GENOA,98',0,0,2,1,2,0,0,2,1,0,7,0,0,0
A.CERCI,10,2017-2018,HELLAS VERONA,16,SPAL,HELLAS VERONA,74',1,0,3,0,2,0,1,1,1,1,3,0,0,0
A.CERCI,10,2017-2018,HELLAS VERONA,17,HELLAS VERONA,MILAN,32',0,0,0,0,0,0,1,1,1,0,1,0,0,0
A.CERCI,10,2017-2018,HELLAS VERONA,27,BENEVENTO,HELLAS VERONA,69',0,0,0,0,1,0,0,0,0,0,3,0,0,0
A.CERCI,10,2017-2018,HELLAS VERONA,30,INTER,HELLAS VERONA,14',0,0,0,0,0,0,0,0,0,0,1,0,0,0
A.CERCI,10,2017-2018,HELLAS VERONA,31,HELLAS VERONA,CAGLIARI,64',0,0,1,0,0,0,0,0,1,1,0,0,0,0
A.CERCI,10,2017-2018,HELLAS VERONA,32,BOLOGNA,HELLAS VERONA,61',0,0,0,2,1,0,1,1,0,1,2,0,0,0
A.CERCI,10,2017-2018,HELLAS VERONA,33,HELLAS VERONA,SASSUOLO,71',0,0,0,0,0,0,0,1,3,2,6,0,0,0
A.CERCI,10,2017-2018,HELLAS VERONA,34,GENOA,HELLAS VERONA,96',0,0,2,0,1,1,0,1,2,1,9,1,0,0
A.CERCI,10,2017-2018,HELLAS VERONA,35,HELLAS VERONA,SPAL,99',0,0,1,0,1,0,1,2,2,2,6,0,0,0
A.CERCI,10,2017-2018,HELLAS VERONA,36,MILAN,HELLAS VERONA,96',0,0,1,1,1,0,2,0,1,1,6,0,0,0
A.CERCI,10,2017-2018,HELLAS VERONA,37,HELLAS VERONA,UDINESE,94',0,0,2,0,1,1,0,1,0,2,7,0,0,0
A.CERCI,10,2017-2018,HELLAS VERONA,38,JUVENTUS,HELLAS VERONA,94',1,0,1,0,1,0,0,0,1,0,1,0,0,0
