Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,KP,FYC,SYC,RC
R.ORSOLINI,7,2019-2020,BOLOGNA,1,HELLAS VERONA,BOLOGNA,96',0,0,1,62,2,0,32,0,3,0,0,0,0,0
R.ORSOLINI,7,2019-2020,BOLOGNA,2,BOLOGNA,SPAL,99',0,0,3,55,4,1,28,0,0,10,5,0,0,0
R.ORSOLINI,7,2019-2020,BOLOGNA,3,BRESCIA,BOLOGNA,100',1,0,2,54,3,1,28,0,4,8,0,0,0,0
R.ORSOLINI,7,2019-2020,BOLOGNA,4,BOLOGNA,ROMA,97',0,0,0,42,0,0,14,1,3,6,0,0,0,0
R.ORSOLINI,7,2019-2020,BOLOGNA,5,GENOA,BOLOGNA,93',0,0,0,53,1,0,27,1,1,2,1,0,0,0
R.ORSOLINI,7,2019-2020,BOLOGNA,6,UDINESE,BOLOGNA,55',0,0,1,32,1,0,12,1,3,6,0,0,0,0
R.ORSOLINI,7,2019-2020,BOLOGNA,7,BOLOGNA,LAZIO,82',0,0,1,33,1,1,13,0,2,2,0,0,0,0
R.ORSOLINI,7,2019-2020,BOLOGNA,8,JUVENTUS,BOLOGNA,94',0,0,1,45,0,0,19,3,3,7,1,0,0,0
R.ORSOLINI,7,2019-2020,BOLOGNA,9,BOLOGNA,SAMPDORIA,39',0,0,1,29,1,0,14,0,1,4,0,0,0,0
R.ORSOLINI,7,2019-2020,BOLOGNA,10,CAGLIARI,BOLOGNA,71',0,0,1,38,2,0,14,3,1,8,0,1,0,0
R.ORSOLINI,7,2019-2020,BOLOGNA,11,BOLOGNA,INTER,95',0,0,0,53,0,0,25,1,3,4,0,0,0,0
R.ORSOLINI,7,2019-2020,BOLOGNA,12,SASSUOLO,BOLOGNA,99',1,0,4,45,3,0,16,2,3,4,0,0,0,0
R.ORSOLINI,7,2019-2020,BOLOGNA,13,BOLOGNA,PARMA,98',0,0,1,66,2,1,22,2,3,5,0,0,0,0
R.ORSOLINI,7,2019-2020,BOLOGNA,14,NAPOLI,BOLOGNA,45',0,0,0,29,0,0,13,1,0,2,0,0,0,0
R.ORSOLINI,7,2019-2020,BOLOGNA,15,BOLOGNA,MILAN,17',0,0,0,6,0,0,1,1,1,0,1,0,0,0
R.ORSOLINI,7,2019-2020,BOLOGNA,16,BOLOGNA,ATALANTA,92',0,0,1,32,0,0,9,3,0,2,0,1,0,0
R.ORSOLINI,7,2019-2020,BOLOGNA,17,LECCE,BOLOGNA,96',2,0,4,49,4,0,30,0,4,3,1,0,0,0
R.ORSOLINI,7,2019-2020,BOLOGNA,18,BOLOGNA,FIORENTINA,97',1,0,1,59,1,0,27,1,4,9,1,0,0,0
R.ORSOLINI,7,2019-2020,BOLOGNA,19,TORINO,BOLOGNA,79',0,0,1,44,1,0,9,0,1,2,0,0,0,0
R.ORSOLINI,7,2019-2020,BOLOGNA,20,BOLOGNA,HELLAS VERONA,99',0,0,0,38,0,0,11,1,2,4,1,0,0,0
R.ORSOLINI,7,2019-2020,BOLOGNA,21,SPAL,BOLOGNA,73',0,0,0,36,0,0,10,1,2,2,2,1,0,0
R.ORSOLINI,7,2019-2020,BOLOGNA,22,BOLOGNA,BRESCIA,75',1,0,1,41,2,0,21,1,3,3,0,0,0,0
R.ORSOLINI,7,2019-2020,BOLOGNA,23,ROMA,BOLOGNA,84',1,0,2,33,1,0,16,1,2,2,1,0,0,0
R.ORSOLINI,7,2019-2020,BOLOGNA,24,BOLOGNA,GENOA,63',0,0,1,32,0,0,10,2,2,5,0,0,0,0
R.ORSOLINI,7,2019-2020,BOLOGNA,25,BOLOGNA,UDINESE,99',0,0,2,73,2,0,27,1,2,4,1,0,0,0
R.ORSOLINI,7,2019-2020,BOLOGNA,26,LAZIO,BOLOGNA,60',0,0,1,25,2,0,13,2,0,2,0,0,0,0
R.ORSOLINI,7,2019-2020,BOLOGNA,27,BOLOGNA,JUVENTUS,84',0,0,0,43,0,0,14,1,1,0,0,0,0,0
R.ORSOLINI,7,2019-2020,BOLOGNA,28,SAMPDORIA,BOLOGNA,99',1,0,1,54,1,0,19,1,4,2,0,0,0,0
R.ORSOLINI,7,2019-2020,BOLOGNA,29,BOLOGNA,CAGLIARI,101',0,0,2,44,0,0,19,3,3,0,1,0,0,0
R.ORSOLINI,7,2019-2020,BOLOGNA,30,INTER,BOLOGNA,67',0,0,1,28,1,0,6,0,2,1,0,0,0,0
R.ORSOLINI,7,2019-2020,BOLOGNA,31,BOLOGNA,SASSUOLO,77',0,0,0,38,0,0,13,2,3,6,1,0,0,0
R.ORSOLINI,7,2019-2020,BOLOGNA,32,PARMA,BOLOGNA,81',0,0,1,37,1,1,13,1,4,5,0,0,0,0
R.ORSOLINI,7,2019-2020,BOLOGNA,33,BOLOGNA,NAPOLI,30',0,0,0,18,0,0,12,0,0,3,1,0,0,0
R.ORSOLINI,7,2019-2020,BOLOGNA,34,MILAN,BOLOGNA,78',0,0,1,37,0,0,12,2,2,0,0,0,0,0
R.ORSOLINI,7,2019-2020,BOLOGNA,35,ATALANTA,BOLOGNA,31',0,0,0,18,0,0,9,0,1,2,0,0,0,0
R.ORSOLINI,7,2019-2020,BOLOGNA,36,BOLOGNA,LECCE,41',0,0,0,26,0,1,20,0,0,0,0,0,0,0
R.ORSOLINI,7,2019-2020,BOLOGNA,37,FIORENTINA,BOLOGNA,77',0,0,1,41,0,0,16,0,4,6,1,0,0,0
