Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,KP,FYC,SYC,RC
A.REBIC,18,2019-2020,MILAN,3,HELLAS VERONA,MILAN,52',0,0,0,21,1,0,12,2,1,3,0,1,0,0
A.REBIC,18,2019-2020,MILAN,4,MILAN,INTER,12',0,0,0,10,0,0,4,2,1,1,0,1,0,0
A.REBIC,18,2019-2020,MILAN,5,TORINO,MILAN,17',0,0,0,5,0,0,2,1,0,0,0,0,0,0
A.REBIC,18,2019-2020,MILAN,8,MILAN,LECCE,17',0,0,0,13,0,0,6,0,1,3,0,0,0,0
A.REBIC,18,2019-2020,MILAN,11,MILAN,LAZIO,61',0,0,0,17,1,0,6,2,1,7,0,0,0,0
A.REBIC,18,2019-2020,MILAN,12,JUVENTUS,MILAN,9',0,0,0,3,0,0,2,0,0,2,0,0,0,0
A.REBIC,18,2019-2020,MILAN,13,MILAN,NAPOLI,46',0,0,0,19,1,0,7,0,0,3,0,0,0,0
A.REBIC,18,2019-2020,MILAN,19,CAGLIARI,MILAN,6',0,0,0,3,0,0,1,0,0,0,0,0,0,0
A.REBIC,18,2019-2020,MILAN,20,MILAN,UDINESE,49',2,0,2,25,2,0,9,1,0,2,0,0,0,0
A.REBIC,18,2019-2020,MILAN,21,BRESCIA,MILAN,35',1,0,1,12,1,0,4,1,0,4,0,0,0,0
A.REBIC,18,2019-2020,MILAN,22,MILAN,HELLAS VERONA,97',0,0,1,45,0,0,18,1,1,6,0,0,0,0
A.REBIC,18,2019-2020,MILAN,23,INTER,MILAN,85',1,0,1,33,1,0,8,3,0,2,0,0,0,0
A.REBIC,18,2019-2020,MILAN,24,MILAN,TORINO,90',1,0,1,42,1,0,20,1,2,0,1,0,0,0
A.REBIC,18,2019-2020,MILAN,25,FIORENTINA,MILAN,97',1,0,3,37,2,0,15,0,2,5,0,0,0,0
A.REBIC,18,2019-2020,MILAN,26,MILAN,GENOA,59',0,0,0,32,0,0,14,1,0,4,1,0,0,0
A.REBIC,18,2019-2020,MILAN,27,LECCE,MILAN,72',1,0,1,29,1,0,11,1,2,6,0,0,0,0
A.REBIC,18,2019-2020,MILAN,28,MILAN,ROMA,79',1,0,2,19,2,0,6,1,0,1,1,1,0,0
A.REBIC,18,2019-2020,MILAN,29,SPAL,MILAN,71',0,0,0,27,0,0,10,1,0,0,1,0,0,0
A.REBIC,18,2019-2020,MILAN,30,LAZIO,MILAN,47',1,0,1,23,1,0,9,1,1,7,1,0,0,0
A.REBIC,18,2019-2020,MILAN,31,MILAN,JUVENTUS,84',1,0,2,22,2,0,7,0,0,2,0,1,0,0
A.REBIC,18,2019-2020,MILAN,32,NAPOLI,MILAN,90',0,0,0,29,0,1,14,2,0,0,0,0,0,0
A.REBIC,18,2019-2020,MILAN,33,MILAN,PARMA,32',0,0,1,18,1,0,7,0,0,3,0,0,0,0
A.REBIC,18,2019-2020,MILAN,34,MILAN,BOLOGNA,85',1,0,2,43,2,0,18,1,0,4,3,0,0,0
A.REBIC,18,2019-2020,MILAN,35,SASSUOLO,MILAN,99',0,0,1,31,0,0,11,1,1,10,2,0,0,0
A.REBIC,18,2019-2020,MILAN,36,MILAN,ATALANTA,61',0,0,0,25,0,0,7,3,2,6,0,0,0,0
A.REBIC,18,2019-2020,MILAN,37,SAMPDORIA,MILAN,51',0,0,1,17,1,1,10,1,0,0,1,1,0,0
