Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,KP,FYC,SYC,RC
L.LERAGER,8,2019-2020,GENOA,1,ROMA,GENOA,98',0,0,0,21,0,0,11,2,1,6,0,0,0,0
L.LERAGER,8,2019-2020,GENOA,2,GENOA,FIORENTINA,97',0,0,1,49,2,0,30,2,3,16,1,0,0,0
L.LERAGER,8,2019-2020,GENOA,3,GENOA,ATALANTA,100',0,0,0,36,1,0,23,1,3,11,1,0,0,0
L.LERAGER,8,2019-2020,GENOA,4,CAGLIARI,GENOA,20',0,0,0,14,0,0,6,0,0,2,0,0,0,0
L.LERAGER,8,2019-2020,GENOA,5,GENOA,BOLOGNA,93',0,0,0,35,0,0,23,2,0,9,0,1,0,0
L.LERAGER,8,2019-2020,GENOA,6,LAZIO,GENOA,46',0,0,0,23,0,0,15,1,2,6,0,0,0,0
L.LERAGER,8,2019-2020,GENOA,7,GENOA,MILAN,91',0,0,1,37,1,0,27,5,2,5,0,1,0,0
L.LERAGER,8,2019-2020,GENOA,8,PARMA,GENOA,94',0,0,1,50,0,0,34,1,1,8,0,0,0,0
L.LERAGER,8,2019-2020,GENOA,9,GENOA,BRESCIA,62',0,0,0,22,0,0,12,2,2,4,0,0,0,0
L.LERAGER,8,2019-2020,GENOA,12,NAPOLI,GENOA,97',0,0,0,62,0,0,51,2,1,20,0,1,0,0
L.LERAGER,8,2019-2020,GENOA,13,SPAL,GENOA,64',0,0,1,20,1,0,15,0,1,0,0,0,0,0
L.LERAGER,8,2019-2020,GENOA,28,BRESCIA,GENOA,31',0,0,0,17,0,0,8,0,0,12,0,0,0,0
L.LERAGER,8,2019-2020,GENOA,29,GENOA,JUVENTUS,49',0,0,0,23,0,0,17,0,0,2,0,0,0,0
L.LERAGER,8,2019-2020,GENOA,30,UDINESE,GENOA,99',0,0,0,39,0,0,28,1,0,1,0,0,0,0
L.LERAGER,8,2019-2020,GENOA,31,GENOA,NAPOLI,30',0,0,0,16,0,0,12,1,0,8,0,0,0,0
L.LERAGER,8,2019-2020,GENOA,32,GENOA,SPAL,23',0,0,0,13,0,0,12,0,0,2,0,0,0,0
L.LERAGER,8,2019-2020,GENOA,33,TORINO,GENOA,20',0,0,0,16,0,0,12,0,1,4,0,0,0,0
L.LERAGER,8,2019-2020,GENOA,34,GENOA,LECCE,100',0,0,0,59,0,0,44,1,1,6,0,1,0,0
L.LERAGER,8,2019-2020,GENOA,35,SAMPDORIA,GENOA,99',1,0,1,53,1,0,41,2,2,9,0,1,0,0
L.LERAGER,8,2019-2020,GENOA,37,SASSUOLO,GENOA,96',0,0,0,50,0,0,38,2,3,10,0,0,0,0
L.LERAGER,8,2019-2020,GENOA,38,GENOA,HELLAS VERONA,101',0,0,0,43,0,1,22,2,0,12,0,0,0,0
